ETA,PHI,PT
1.56554, 4.32975, 1.18606
1.15997, 4.02583, 0.627843
1.00787, 4.09856, 0.488277
0.884913, 4.36845, 1.18921
1.22797, 4.04187, 2.32616
1.24029, 4.69193, 0.924229
1.13177, 4.64918, 0.227953
1.33947, 4.11501, 0.335432
1.06009, 4.59369, 0.181706
1.32363, 4.12767, 0.455246
1.22956, 4.12894, 4.35249
1.45035, 4.24946, 0.666613
1.44433, 4.27496, 1.29598
1.37716, 4.29138, 1.35179
1.32385, 4.42305, 0.275204
1.13036, 4.43469, 3.40087
1.22773, 4.42774, 0.275898
1.199, 4.31092, 4.19216
1.1499, 4.36463, 17.2385
1.29967, 4.37172, 2.52198
1.16996, 4.38961, 2.66435
1.22583, 4.4465, 0.670424
1.20512, 4.39409, 9.20665
1.23032, 4.42263, 0.360544
1.24224, 4.39968, 25.7998
1.23862, 4.40474, 18.2736
@@@,@@@,@@@
-0.801674, 1.59591, 105.952
-0.844902, 1.97798, 0.130638
-0.662231, 1.30418, 0.296378
-0.548517, 1.64419, 2.13886
-0.937851, 1.64479, 1.94969
-0.712582, 1.5421, 14.8726
-0.741281, 1.61913, 3.83724
-0.76357, 1.5456, 0.435367
-0.74307, 1.59244, 6.97968
-0.843222, 1.68098, 4.24843
-0.761497, 1.60128, 6.53043
-0.868045, 1.60591, 19.2705
-0.844841, 1.63407, 2.89981
-0.799377, 1.55945, 0.352825
-0.809402, 1.5847, 5.96839
-0.82871, 1.6033, 6.31996
-0.820688, 1.59352, 29.7904
@@@,@@@,@@@
-1.62879, 6.01597, 103.647
-1.60022, 0.128264, 0.117939
-1.83775, 0.0510305, 0.0915737
-1.28478, 6.04428, 0.108633
-1.86298, 6.1118, 1.5706
-1.97772, 5.88026, 0.174547
-1.50829, 6.07043, 1.69193
-1.59768, 5.91209, 4.86131
-1.71009, 5.96188, 0.252964
-1.66303, 6.10916, 0.422444
-1.71005, 6.03704, 4.14687
-1.67087, 5.97091, 0.743865
-1.68248, 5.99009, 13.1034
-1.56537, 6.0677, 1.9878
-1.65636, 6.06318, 3.11377
-1.58202, 6.07254, 0.790941
-1.56179, 6.03845, 2.21948
-1.61016, 6.05912, 4.40646
-1.58102, 6.0225, 19.2512
