ETA,PHI,PT
-0.878228, 4.67897, 6.90573
-0.873578, 4.65943, 2.84529
-0.869885, 4.64797, 12.0434
@@@,@@@,@@@
-1.09835, 3.20968, 103.346
-0.857064, 2.90676, 0.0383261
-1.06837, 2.83847, 5.90776
-1.24179, 2.88393, 2.14656
-1.39893, 3.42198, 0.148061
-1.13699, 2.92887, 7.28253
-1.11012, 2.9702, 0.13646
-1.29397, 3.14564, 0.230657
-1.26947, 3.24609, 1.72309
-1.14161, 3.16831, 0.121687
-1.1325, 3.33544, 0.399871
-1.04901, 3.24952, 18.4293
-1.11963, 3.24001, 0.498535
-1.07134, 3.24617, 9.93229
-1.10805, 3.26692, 16.1302
-1.08363, 3.27702, 37.2419
-1.07421, 3.26758, 3.93176
@@@,@@@,@@@
2.39405, 3.97203, 101.048
2.41637, 3.65203, 0.394183
2.09137, 3.94774, 0.0174414
2.28603, 3.84527, 0.50886
2.26508, 4.00994, 0.14752
2.36926, 3.88761, 7.22581
2.46246, 3.93118, 2.9777
2.40043, 4.0095, 27.456
2.39845, 3.9416, 2.08963
2.36092, 3.97097, 1.83184
2.41182, 3.98681, 3.49845
2.40223, 3.9785, 6.33674
2.38826, 3.96911, 48.6372
@@@,@@@,@@@
1.75301, 5.8188, 101.725
2.03073, 6.06088, 1.58886
1.78598, 6.13547, 0.219479
1.75739, 6.13822, 1.15858
1.95827, 5.57613, 1.25554
1.76847, 6.12803, 0.317069
2.0013, 5.68714, 0.912025
2.09342, 5.86705, 0.346477
1.91245, 5.983, 0.0176586
1.72457, 5.97517, 0.284589
1.82918, 5.69053, 1.87675
1.76417, 5.69064, 0.305158
1.62202, 5.80495, 1.82429
1.80555, 5.89611, 5.53242
1.78109, 5.89377, 8.04714
1.70657, 5.71382, 3.24006
1.74958, 5.83319, 0.364218
1.77121, 5.74296, 1.15298
1.71988, 5.75808, 1.3631
1.73673, 5.78756, 4.97177
1.73355, 5.78882, 12.3722
1.7599, 5.77408, 13.1378
1.76369, 5.78257, 8.02244
1.68621, 5.8668, 0.616313
1.70332, 5.82134, 11.6226
1.70232, 5.84677, 18.7954
1.72253, 5.83606, 2.67568
@@@,@@@,@@@
1.88188, 1.74061, 102.651
1.8746, 1.51051, 0.84633
1.87626, 1.86219, 1.89816
2.01038, 1.91427, 3.03347
2.15196, 1.85255, 3.9197
2.12362, 1.53859, 0.426916
2.03553, 1.51539, 0.68696
1.88961, 1.79728, 2.18661
1.86084, 1.72474, 0.216486
2.11051, 1.79473, 0.259475
1.99679, 1.75341, 5.23412
2.00757, 1.67243, 20.0779
2.04442, 1.70139, 11.5705
2.11914, 1.71217, 0.29689
2.02296, 1.70589, 5.86317
1.87051, 1.98156, 0.394961
1.77785, 1.9072, 0.0705438
1.59322, 1.90928, 0.860311
1.62935, 1.71776, 1.80662
1.63071, 1.74453, 7.15988
1.68329, 1.7207, 12.2554
1.6687, 1.81863, 2.53402
1.69058, 1.82116, 4.10611
1.69476, 1.77287, 12.4621
1.72806, 1.77199, 4.73745
@@@,@@@,@@@
-1.49878, 4.46942, 103.328
-1.10717, 4.42867, 0.128776
-1.11524, 4.54667, 0.212962
-1.57841, 4.83357, 0.549148
-1.47184, 4.78264, 4.72771
-1.19254, 4.3732, 0.10709
-1.39242, 4.1631, 0.178284
-1.31933, 4.23245, 2.38966
-1.50246, 4.74406, 0.143389
-1.28687, 4.48, 0.33648
-1.33342, 4.39243, 1.93073
-1.3162, 4.6116, 0.845917
-1.96108, 4.70602, 0.103068
-1.28281, 4.41926, 1.92878
-1.70972, 4.55445, 0.33434
-1.57373, 4.48047, 7.38996
-1.54548, 4.47318, 2.27721
-1.5034, 4.46201, 50.3721
-1.50291, 4.44504, 29.7516
@@@,@@@,@@@
0.791957, 3.82247, 103.903
0.416295, 3.98466, 0.0682054
0.606622, 3.97186, 0.841117
0.718095, 3.4468, 1.87189
0.711076, 3.45106, 0.229128
0.686589, 3.47904, 1.45985
0.995867, 3.56358, 0.766499
0.818845, 3.52267, 0.158425
0.962677, 3.57395, 0.868752
1.00048, 3.63968, 1.72908
0.485385, 3.79988, 0.0243679
1.04579, 3.78008, 0.356189
0.971456, 4.02421, 2.76749
1.02761, 3.77162, 1.46701
0.994696, 3.97438, 1.69669
0.63518, 4.03855, 0.158972
0.566045, 3.8808, 0.358307
0.722735, 3.6199, 1.21405
0.98509, 3.78768, 0.943273
0.5525, 3.87662, 0.650829
0.586298, 3.83522, 2.03306
0.740809, 4.00528, 4.99015
0.681699, 3.9723, 4.06536
0.624973, 3.7507, 3.47829
0.911039, 3.90402, 5.19392
0.674487, 3.72106, 3.60033
0.793774, 3.96335, 0.864263
0.699948, 3.92924, 2.25431
0.653213, 3.78873, 1.56646
0.67909, 3.74025, 0.224219
0.796297, 3.94514, 0.671031
0.742629, 3.71533, 4.2713
0.697901, 3.86212, 3.38434
0.713488, 3.87358, 2.26636
0.703881, 3.79918, 4.99
0.712395, 3.84061, 0.675408
0.785751, 3.89947, 9.90266
0.746187, 3.80562, 8.60006
0.904484, 3.85935, 0.913523
0.854298, 3.75327, 6.08008
0.832452, 3.83854, 1.86864
0.859803, 3.81287, 8.78342
0.84209, 3.78992, 3.91894
0.83403, 3.78222, 2.39861
@@@,@@@,@@@
-0.955001, 0.78901, 109.768
-0.806667, 1.15152, 1.49167
-1.44906, 0.652241, 0.741034
-0.691361, 0.530942, 0.444075
-0.915883, 1.13523, 0.47268
-0.855158, 1.12466, 0.0601377
-1.19708, 0.981282, 0.184541
-0.866856, 0.958847, 3.25794
-0.812347, 1.01886, 15.8812
-0.863231, 0.996738, 3.86014
-0.755779, 0.909396, 2.81424
-0.953271, 0.977296, 4.11383
-0.770109, 0.871241, 3.10011
-0.743062, 0.709204, 0.131029
-0.778564, 0.80634, 2.47839
-1.04991, 0.47219, 1.36434
-0.800454, 0.591037, 2.64291
-0.790639, 0.752172, 1.47098
-1.12469, 0.620686, 0.0820605
-0.973074, 0.799044, 5.14949
-1.18617, 0.658145, 1.01889
-1.09806, 0.689113, 4.93602
-1.0054, 0.670305, 13.7585
-0.982719, 0.67638, 6.85902
-1.01073, 0.687167, 9.96748
-1.00418, 0.713805, 10.9503
-0.995357, 0.711363, 13.7622
@@@,@@@,@@@
0.422908, 3.1045, 109.492
0.991913, 3.45037, 0.311814
0.802999, 3.1198, 1.07167
0.819258, 3.00527, 0.368433
0.520479, 2.76383, 1.05567
0.397025, 2.75194, 0.992733
0.502997, 2.81521, 1.4732
0.458597, 2.81704, 0.0932612
0.716033, 2.81929, 0.0979964
