ETA,PHI,PT
-2.19547, 1.14653, 5.33297
-2.24491, 0.947624, 6.36512
-2.17933, 0.986796, 11.1066
-2.33305, 1.02432, 1.44087
-2.25765, 1.12042, 0.95498
-2.23019, 1.11429, 5.93341
-2.23086, 1.11038, 4.3483
-2.24785, 0.980285, 3.04157
-2.21745, 0.993614, 0.997575
-2.25015, 1.00301, 7.7772
-2.2381, 1.05438, 1.70722
-2.23084, 1.03882, 8.7677
-2.23838, 1.04195, 1.70154
-2.24874, 1.10103, 0.69602
-2.2764, 1.09245, 2.68003
-2.29009, 1.07758, 4.09095
-2.29485, 1.05206, 1.3816
-2.26959, 1.05561, 10.7468
-2.29141, 1.0553, 1.52188
@@@,@@@,@@@
-0.0434893, 4.01361, 100.512
0.234963, 4.16039, 0.506863
-0.023855, 4.4151, 0.202772
-0.130181, 3.83668, 2.8508
-0.170652, 3.85088, 3.28838
-0.188362, 4.01363, 1.31684
-0.140769, 4.22839, 0.243747
-0.162266, 4.21053, 0.330686
-0.173304, 4.18933, 6.52549
-0.190398, 4.16066, 16.8043
-0.0696123, 4.21246, 1.76378
-0.0789522, 4.04268, 1.07866
-0.0641793, 4.07159, 3.35398
-0.112608, 4.13008, 4.45822
-0.101322, 4.12272, 18.7713
0.0695862, 3.64365, 0.147781
0.143723, 3.66742, 0.842464
0.143124, 4.05555, 0.102897
0.271572, 3.86114, 0.409921
0.147124, 3.71306, 0.998654
-0.0286742, 3.88627, 5.13385
0.147898, 3.78501, 2.10562
0.0783509, 3.79262, 1.69855
0.136182, 3.90801, 11.6529
0.0983717, 3.84063, 3.6875
0.101982, 3.83273, 1.46397
0.103169, 3.87046, 8.73173
0.0831339, 3.88289, 3.13363
@@@,@@@,@@@
1.86167, 6.06656, 106.167
2.01581, 5.66973, 0.220509
1.51992, 6.26982, 1.51809
2.04746, 0.0936472, 1.21608
1.58901, 5.81653, 0.250729
2.17513, 5.90985, 1.04067
1.57758, 6.23919, 1.11539
1.9301, 5.77977, 0.279564
2.00598, 6.25134, 2.07122
1.87115, 0.0178155, 0.768751
1.93255, 5.83014, 0.343833
1.64143, 6.11525, 2.81319
1.85877, 5.85577, 3.11558
2.04974, 6.09817, 0.479259
1.68228, 6.1247, 1.64554
1.74782, 6.19796, 2.4635
2.02522, 6.01374, 0.133432
1.75553, 5.93574, 1.73062
1.88427, 5.96049, 2.74559
1.9038, 5.92269, 2.62521
1.92297, 5.94412, 8.39495
1.8069, 5.96086, 2.79523
1.77111, 6.13212, 10.0535
1.77045, 6.11133, 1.39143
1.78321, 6.07879, 9.89515
1.81151, 6.07571, 2.26442
1.84957, 5.95983, 1.09567
1.85909, 6.00728, 10.9565
1.89931, 6.03131, 5.27014
1.92968, 6.20109, 0.258412
1.95263, 6.10566, 4.43255
1.90133, 6.09099, 10.8683
1.91262, 6.14624, 10.7578
1.90336, 6.12627, 1.70817
@@@,@@@,@@@
0.696184, 1.13643, 101.111
0.887151, 1.47578, 0.994679
0.398974, 0.93229, 0.428301
1.05539, 0.982071, 0.330252
0.482806, 1.40066, 0.122388
0.585507, 0.825306, 1.33608
0.4004, 1.23951, 0.415332
0.991991, 1.0328, 0.568801
0.530958, 0.880237, 0.169073
0.557463, 1.33263, 0.363062
0.5479, 1.25958, 6.9931
0.702213, 0.946108, 1.92948
0.791136, 1.00089, 2.11815
0.748337, 1.28483, 0.826453
0.678768, 0.990313, 2.76772
0.810164, 1.20293, 4.45919
0.654339, 1.0189, 3.12897
0.608256, 1.06938, 1.30653
0.729782, 1.0365, 1.43404
0.76562, 1.0685, 6.40766
0.761153, 1.06056, 1.812
0.647426, 1.06481, 7.04214
0.663253, 1.06654, 0.402975
0.793325, 1.12711, 0.660617
0.698517, 1.07569, 5.34985
0.634661, 1.09637, 0.348399
0.628857, 1.23223, 4.32031
0.684867, 1.085, 0.85124
0.756468, 1.19548, 8.83591
0.668458, 1.10047, 0.986622
0.682188, 1.12998, 10.5437
0.723924, 1.16947, 2.85882
0.686233, 1.18447, 14.3114
0.671995, 1.1961, 7.14749
@@@,@@@,@@@
-0.0177095, 1.23257, 100.596
0.0740981, 0.878625, 4.19615
0.236539, 0.988308, 4.57893
0.123847, 0.916928, 0.0320735
0.165479, 0.972412, 11.0101
-0.213646, 0.93823, 0.950922
0.306629, 1.35376, 0.315046
