ETA,PHI,PT
-0.566871, 3.16164, 1.30549
-0.667218, 3.30787, 3.91254
-0.736744, 3.32112, 0.711751
-0.762453, 3.31309, 1.65537
-0.727928, 3.31222, 2.87106
-0.866738, 3.15501, 0.519509
-0.803932, 3.28883, 3.25398
-0.649919, 3.05608, 1.96471
-0.610199, 3.1045, 2.05395
-0.698259, 3.04766, 3.85061
-0.619165, 3.18648, 2.40085
-0.622264, 3.15883, 1.71309
-0.702864, 3.07224, 5.28313
-0.748202, 3.27736, 0.168613
-0.647536, 3.15202, 1.22928
-0.652838, 3.13226, 2.83188
-0.809215, 3.12799, 0.964486
-0.786066, 3.1181, 2.03891
-0.764277, 3.10412, 0.826236
-0.690817, 3.15504, 3.05102
-0.729411, 3.12283, 8.03894
-0.776137, 3.17741, 10.8604
-0.782706, 3.19165, 4.1707
-0.741733, 3.23262, 4.87254
-0.732272, 3.17685, 4.74576
-0.730185, 3.19633, 0.998206
-0.72355, 3.20003, 1.50763
-0.693676, 3.19372, 6.64466
-0.706937, 3.20763, 7.42437
-0.697171, 3.21644, 1.48135
@@@,@@@,@@@
2.14886, 0.6849, 100.913
2.11702, 0.342622, 0.397743
1.8463, 0.611761, 1.90247
2.19755, 0.448683, 1.88273
1.98198, 0.816567, 0.726762
2.09881, 0.845378, 0.718029
2.2038, 0.838049, 3.03892
2.16127, 0.823155, 4.49805
2.21059, 0.601736, 6.76107
2.09708, 0.727567, 1.18369
2.14466, 0.739768, 19.5388
2.10794, 0.637085, 2.39706
2.11602, 0.685338, 4.37643
2.16708, 0.686105, 5.61422
2.13324, 0.650485, 5.68182
2.13902, 0.674376, 8.31454
2.15325, 0.66243, 24.3769
2.14978, 0.663933, 9.74725
@@@,@@@,@@@
-0.208017, 5.97892, 104.576
0.0707243, 5.74553, 0.0377718
-0.387859, 5.74912, 0.173643
-0.365767, 5.79616, 2.06068
-0.212511, 5.85346, 0.798244
-0.0871085, 5.99235, 0.577364
-0.288401, 6.05361, 4.79424
-0.0940717, 5.96589, 2.82438
-0.245211, 5.89536, 0.362588
-0.133558, 5.92331, 1.61441
-0.136009, 6.03758, 2.58749
-0.284067, 5.99146, 6.87378
-0.162437, 5.91035, 2.91412
-0.215282, 6.0147, 14.3092
-0.204978, 5.93968, 1.02092
-0.208399, 5.94614, 4.53042
-0.180596, 5.95818, 2.38889
-0.196777, 5.95503, 9.91165
-0.19933, 5.98401, 46.8884
@@@,@@@,@@@
0.77835, 4.88928, 102.304
0.509422, 5.05907, 0.279023
0.906903, 4.72821, 0.153809
0.723456, 4.69427, 2.26919
0.740658, 5.08729, 0.464754
0.657327, 4.7491, 1.08796
0.928635, 4.98898, 0.869243
0.674136, 4.92535, 1.49986
0.812168, 4.98244, 7.39799
0.689786, 4.92038, 2.34092
0.810941, 4.92501, 6.95168
0.810936, 4.90997, 4.53825
0.799188, 4.86416, 32.0088
0.738103, 4.86389, 5.37127
0.766887, 4.87067, 1.36308
0.76639, 4.86981, 3.80833
0.754487, 4.88036, 5.44428
0.761234, 4.90141, 26.5833
@@@,@@@,@@@
-2.07896, 3.03641, 101.168
-1.8623, 3.3551, 0.0619982
-2.19074, 2.73594, 0.174763
-2.02829, 3.27514, 1.05245
-1.83921, 3.03049, 1.30972
-2.11437, 3.21559, 0.468502
